Municipality,Enrollment 2019,Update Date,Choice,Number of Days In-Person K,Number of Days In-Person 1,Number of Days In-Person 2,Number of Days In-Person 3,Number of Days In-Person 4,Number of Days In-Person 5,Number of Days In-Person 6,Number of Days In-Person 7,Number of Days In-Person 8,Number of Days In-Person 9,Number of Days In-Person 10,Number of Days In-Person 11,Number of Days In-Person 12,ScheduleK,Schedule1,Schedule2,Schedule3,Schedule4,Schedule5,Schedule6,Schedule7,Schedule8,Schedule9,Schedule10,Schedule11,Schedule12
Williamsburg-James City,11805,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles City,620,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
New Kent,3354,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Henrico,51786,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond,25212,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Hopewell,4283,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Petersburg,4211,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Chesterfield,62669,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Goochland,2619,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland,1321,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Buckingham,2113,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Nelson,1695,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Albemarle,14435,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Waynesboro,2961,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Staunton,2738,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlottesville,4544,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrisonburg,6613,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluvanna,3549,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
West Point,802,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloucester,5306,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Middlesex,1208,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Lancaster,1079,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Essex,1320,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Caroline,4253,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
King George,4518,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Spotsylvania,23901,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredericksburg,3755,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Stafford,30120,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Prince William,92270,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Manassass,7789,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Manassass Park,3641,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Fauquier,11181,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Shenandoah,6003,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Loudoun,83933,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfax,188930,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandria,16307,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Arlington,28151,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Falls Church,2649,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Colonial Beach,652,9222020,All Hybrid,4,4,4,4,4,4,4,4,4,4,4,4,4,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R
